0	轻型运动类飞机;
1	机体结构;
1.1	机身结构;
1.1.1	机身壳体;
1.1.2	地板;
1.1.3	框;
1.1.3.1	1框（短舱、前起）;
1.1.3.2	2框（机翼前梁、驾驶舱）;
1.1.3.3	3框（机翼后墙、驾驶舱、主起、斜撑）;
1.1.3.4	4框（尾段）;
1.1.3.5	5框（尾翼）;
1.1.4	垂尾梁;
1.1.5	窗;
1.1.6	机身与机翼的对接;
1.1.7	机身与平尾的对接;
1.1.8	防火墙;
1.2	机翼结构;
1.2.1	机翼壳体;
1.2.2	前梁;
1.2.3	后墙;
1.2.4	肋;
1.2.5	翼尖;
1.2.6	襟翼;
1.2.7	副翼;
1.2.8	机翼撑杆;
1.2.9	机翼部件对接;
1.3	尾翼;
1.3.1	水平安定面;
1.3.1.1	水平安定面壳体;
1.3.1.2	水平安定面肋;
1.3.1.3	水平安定面梁;
1.3.2	升降舵;
1.3.2.1	升降舵壳体;
1.3.2.2	升降舵填充泡沫;
1.3.3	方向舵;
1.3.3.1	方向舵壳体;
1.3.3.2	方向舵填充泡沫;
1.3.4	尾翼部件对接;
1.4	全机喷涂面漆;
2	起落架系统;
2.1	前起落架;
2.1.1	弹簧钢管;
2.1.2	轮叉;
2.1.3	轮轴;
2.1.4	标准件;
2.1.5	机轮;
2.1.6	轮胎;
2.2	主起落架;
2.2.1	弹簧钢板;
2.2.2	锁紧螺母;
2.2.3	法兰盘;
2.2.4	轮轴;
2.2.5	刹车连接装置;
2.2.6	标准件;
2.2.7	机轮;
2.2.8	轮胎;
2	浮筒;
3	动力系统;
3.1	动力装置;
3.1.1	Rotax912ULS发动机标准配置;
3.1.2	空气滤;
3.1.3	冷却液散热器;
3.1.4	排气系统（带消音器）;
3.1.5	溢流瓶;
3.1.6	滑油散热器;
3.1.7	滑油;
3.1.8	动力装置加工件;
3.2	发动机安装;
3.2.1	发动机安装支架;
3.3	螺旋桨装置;
3.3.1	螺旋桨;
3.3.2	桨帽;
3.3.3	桨毂;
4	燃油系统;
4.1	燃油箱;
4.2	油滤;
4.3	燃油泵;
4.4	放油开关;
4.5	翻板单向阀;
4.6	燃油切断阀;
4.7	油量指示;
4.8	通气管路;
4.9	供油管;
4.10	放油管;
4.11	死油;
5	防灭火系统;
5.1	座舱灭火装置;
5.1.1	灭火瓶;
5.1.2	安装架;
5.2	发动机舱防火铺层;
6	环控救生系统;
6.1	环控系统;
6.1.1	通风系统;
6.1.1.1	舱盖通风口;
6.1.1.2	舱内通风口;
6.1.1.3	机翼进气口;
6.1.2	座舱加温系统;
6.1.2.1	排气热交换器;
6.1.2.2	安装支架;
6.1.2.3	混合箱;
6.1.2.4	控制面板;
6.1.2.5	控制活门及钢索;
6.1.2.6	管路及喷嘴;
6.1.3	风挡除雾系统;
6.1.3.1	软管及安装支架;
6.1.3.2	除雾喷口;
6.1.3.3	控制活门及其附件;
6.2	设备与内饰;
6.2.1	座椅及约束系统;
6.2.1.1	整体式结构座椅;
6.2.1.2	约束系统;
6.2.1.3	座椅固定装置;
6.2.2	座舱内部装饰;
6.2.2.1	装饰板;
6.2.2.2	储物袋;
6.2.2.3	地毯;
6.2.3	应急定位发射机;
6.2.4	 救生衣;
7	航电系统;
7.1	综合航电系统;
7.1.1	综合处理模块（集成定位、姿态、航向、大气数据、VHF通信、空管、发动机参数采集）;
7.1.2	音频控制;
7.1.3	VHF天线;
7.1.4	GPS天线;
7.1.5	耳机话筒;
7.1.6	显示器;
7.2	空速管;
7.2	磁罗盘;
7.2	空速表;
7.2	高度表;
7.2	地平表;
8	飞行操纵系统;
8.1	主操纵系统;
8.1.1	副翼操纵;
8.1.1.1	限位装置;
8.1.1.2	拉杆;
8.1.1.3	复位装置;
8.1.1.4	摇臂;
8.1.2	方向舵操纵;
8.1.2.1	脚蹬;
8.1.2.2	摇臂;
8.1.2.3	限位装置;
8.1.2.4	钢索;
8.1.3	升降舵操纵;
8.1.3.1	操纵杆;
8.1.3.2	扭力管;
8.1.3.3	摇臂;
8.1.3.4	限位装置;
8.1.3.5	拉杆;
8.1.4	水舵操纵;
8.1.4.1	收放钢索;
8.1.4.2	操纵钢索;
8.1.4.3	弹簧;
8.1.4.4	滑轮;
8.1.4.5	平衡钢索;
8.2	辅助操纵系统;
8.2.1	襟翼操纵系统;
8.2.1.1	襟翼控制单元;
8.2.1.2	襟翼电机;
8.2.1.3	摇臂;
8.2.1.4	拉杆;
8.2.2	刹车操纵系统;
8.2.2.1	操纵手柄;
8.2.2.2	钢索;
8.2.2.3	刹车装置;
8.2.3	转弯操纵系统;
8.2.3.1	拉杆;
8.2.3.2	接头;
9	电气系统;
9.1	电源;
9.1.1	起动发电机;
9.1.2	整流稳压器;
9.1.3	蓄电池;
9.2	电气互联;
9.2.1	电线、电缆;
9.2.2	连接器;
9.2.3	配电盒（保险、断路器）;
9.2.4	开关;
9.2.5	继电器;
9.3	照明;
9.3.1	航行灯/防撞灯;
9.3.2	着陆灯
